Gene_symbol	Module_assignment
AAAS	Not significant
AACS	Not significant
AAK1	Not significant
AAMDC	Not significant
AAMP	Not significant
AARS	Not significant
AARS2	Not significant
AASDH	Not significant
AASDHPPT	Not significant
AATF	Not significant
ABCA5	Not significant
ABCA7	Not significant
ABCB7	Not significant
ABCC1	Not significant
ABCC10	Not significant
ABCC2	Not significant
ABCC5	Not significant
ABCD1	Not significant
ABCD3	Not significant
ABCD4	Not significant
ABCE1	Not significant
ABCF1	Lymph late up
ABCF2	Not significant
ABCG2	Not significant
ABHD12	Not significant
ABHD13	Not significant
ABHD16A	Global late down
ABHD17A	B down
ABHD18	Not significant
ABHD3	Not significant
ABI1	Not significant
ABI2	Not significant
ABL1	Not significant
ABLIM1	Not significant
ABR	Global down
ABRACL	Global late down
ABRAXAS1	Not significant
ABRAXAS2	Not significant
ACAA1	Not significant
ACAA2	Not significant
ACACA	Not significant
ACAD9	Not significant
ACADM	Not significant
ACADS	Not significant
ACADSB	Not significant
ACADVL	Not significant
ACAP1	Not significant
ACAP2	Mono late down
ACAP3	Not significant
ACAT1	Not significant
ACBD3	Not significant
ACBD6	Not significant
ACCS	Not significant
ACD	Not significant
ACLY	Not significant
ACO2	Not significant
ACOT13	Not significant
ACOT7	Not significant
ACOT9	Not significant
ACOX1	Not significant
ACP2	Not significant
ACP6	Not significant
ACSF2	Not significant
ACSF3	Not significant
ACSL1	Mono late up
ACSL3	Not significant
ACSL4	Mono early up
ACSL5	Not significant
ACTB	B down
ACTG1	B down
ACTL6A	Not significant
ACTN1	Not significant
ACTN4	Global down
ACTR10	Not significant
ACTR1A	Not significant
ACTR1B	Not significant
ACTR2	B down
ACTR3	NK mid up
ACTR5	Not significant
ACTR6	Not significant
ACTR8	Not significant
ADAL	Not significant
ADAM10	Not significant
ADAM15	Not significant
ADAM17	Not significant
ADAM23	Global late down
ADAM8	B down
ADAR	Global up
ADCK2	Not significant
ADCK5	Not significant
ADCY4	Not significant
ADCY7	Mono late down
